source,ra,ha,dec,date1,time1,date2,time2,int,type,weight,beam,switch_type,freqmode,centfreq,template
S1137+5324,11:37:34,,+53:24:05,2022-02-22,19:05:06,2022-02-23,06:35:06,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0003+4114,00:03:24,,+41:14:27,2022-02-23,07:29:06,2022-02-23,18:59:06,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.138,,+49:51:07.2322,2022-02-23,19:05:54,2022-02-23,22:23:54,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2204+3848,22:04:03,,+38:48:32,2022-02-24,05:25:54,2022-02-24,16:55:54,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8855,,+16:38:22.0546,2022-02-24,17:04:04,2022-02-24,20:22:04,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
imaging_end,05:21:09.8855,,+16:38:22.0546,2022-02-24,20:24:04,2022-02-24,20:25:04,10,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
