source,ra,ha,dec,date1,time1,date2,time2,int,type,weight,beam,switch_type,freqmode,centfreq,template
imaging_start,05:42:36.1379,,+49:51:07.2337,2021-12-24,18:01:00,2021-12-24,18:02:00,10,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.1379,,+49:51:07.2337,2021-12-24,18:04:00,2021-12-24,21:22:00,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1041+5815,10:41:51,,+58:15:56,2021-12-24,22:04:00,2021-12-25,09:34:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
M2214+3130,22:14:46,,+31:30:45,2021-12-25,09:45:43,2021-12-25,21:15:43,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8859,,+16:38:22.0518,2021-12-25,21:23:44,2021-12-26,00:41:44,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1346+5815,13:46:59,,+58:15:56,2021-12-26,01:05:44,2021-12-26,12:35:44,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.1379,,+49:51:07.2337,2021-12-26,17:55:44,2021-12-26,21:13:44,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1044+5550,10:44:36,,+55:50:00,2021-12-26,21:59:44,2021-12-27,09:29:44,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2252+4832,22:52:06,,+48:32:14,2021-12-27,10:05:44,2021-12-27,21:35:44,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8859,,+16:38:22.0518,2021-12-27,21:43:14,2021-12-28,01:01:14,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1421+5324,14:21:37,,+53:24:05,2021-12-28,01:31:14,2021-12-28,13:01:14,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.1379,,+49:51:07.2337,2021-12-28,17:47:14,2021-12-28,21:05:14,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1047+6041,10:47:49,,+60:41:51,2021-12-28,21:55:14,2021-12-29,09:25:14,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2332+4340,23:32:10,,+43:40:23,2021-12-29,10:37:14,2021-12-29,22:07:14,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8859,,+16:38:22.0518,2021-12-29,22:14:10,2021-12-30,01:32:10,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1439+5324,14:39:51,,+53:24:05,2021-12-30,01:42:01,2021-12-30,13:12:01,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.1379,,+49:51:07.2337,2021-12-30,17:40:01,2021-12-30,20:58:01,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1102+5815,11:02:25,,+58:15:56,2021-12-30,22:02:01,2021-12-31,09:32:01,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2341+4832,23:41:45,,+48:32:14,2021-12-31,10:40:01,2021-12-31,22:10:01,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8859,,+16:38:22.0518,2021-12-31,22:16:49,2022-01-01,01:34:49,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1428+5815,14:28:08,,+58:15:56,2022-01-01,01:44:30,2022-01-01,13:14:30,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.1379,,+49:51:07.2337,2022-01-01,17:32:30,2022-01-01,20:50:30,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1123+5550,11:23:00,,+55:50:00,2022-01-01,22:14:30,2022-01-02,09:44:30,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2342+5058,23:42:05,,+50:58:09,2022-01-02,10:30:30,2022-01-02,22:00:30,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8859,,+16:38:22.0518,2022-01-02,22:07:18,2022-01-03,01:25:18,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1426+6041,14:26:00,,+60:41:51,2022-01-03,01:34:58,2022-01-03,13:04:58,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.1379,,+49:51:07.2337,2022-01-03,17:22:58,2022-01-03,20:40:58,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
M1243+3130,12:43:58,,+31:30:45,2022-01-03,23:26:58,2022-01-04,10:56:58,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8859,,+16:38:22.0518,2022-01-04,18:40:58,2022-01-04,21:58:58,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
M1248+3356,12:48:39,,+33:56:40,2022-01-04,23:28:58,2022-01-05,10:58:58,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
