source,ra,ha,dec,date1,time1,date2,time2,int,type,weight,beam,switch_type,freqmode,centfreq,template
3C147,05:42:36.1379,,+49:51:07.2337,2022-01-05,17:16:58,2022-01-05,20:34:58,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
M1301+3356,13:01:59,,+33:56:40,2022-01-05,23:36:58,2022-01-06,11:06:58,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8859,,+16:38:22.0518,2022-01-06,18:32:58,2022-01-06,21:50:58,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2117+2904,21:17:25,,+29:04:49,2022-01-07,07:46:58,2022-01-07,19:16:58,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.1379,,+49:51:07.2337,2022-01-07,19:26:04,2022-01-07,22:44:04,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0104+2904,01:04:47,,+29:04:49,2022-01-08,11:30:04,2022-01-08,23:00:04,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C286,13:31:08.2885,,+30:30:32.9608,2022-01-09,02:34:04,2022-01-09,05:52:04,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0130+2904,01:30:03,,+29:04:49,2022-01-09,11:52:04,2022-01-09,23:22:04,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.1379,,+49:51:07.2337,2022-01-09,23:27:40,2022-01-10,02:45:40,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0149+3848,01:49:56,,+38:48:32,2022-01-10,12:07:40,2022-01-10,23:37:40,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C286,13:31:08.2885,,+30:30:32.9608,2022-01-11,02:25:40,2022-01-11,05:43:40,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
imaging_end,13:31:08.2885,,+30:30:32.9608,2022-01-11,05:45:40,2022-01-11,05:46:40,10,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
