source,ra,ha,dec,date1,time1,date2,time2,int,type,weight,beam,switch_type,freqmode,centfreq,template
imaging_start,05:42:36.1379,,+49:51:07.2337,2022-01-20,16:15:00,2022-01-20,16:16:00,10,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.1379,,+49:51:07.2337,2022-01-20,16:18:00,2022-01-20,19:36:00,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1123+5550,11:23:00,,+55:50:00,2022-01-20,21:00:00,2022-01-21,08:30:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0103+3130,01:03:25,,+31:30:45,2022-01-21,10:38:00,2022-01-21,22:08:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C286,13:31:08.2885,,+30:30:32.9608,2022-01-22,01:42:00,2022-01-22,05:00:00,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S2358+4832,23:58:18,,+48:32:14,2022-01-22,09:31:00,2022-01-22,21:01:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1426+6041,14:26:00,,+60:41:51,2022-01-22,23:54:00,2022-01-23,11:24:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.1379,,+49:51:07.2337,2022-01-23,16:06:00,2022-01-23,19:24:00,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1041+5815,10:41:51,,+58:15:56,2022-01-23,20:06:00,2022-01-24,07:36:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0233+2904,02:33:12,,+29:04:49,2022-01-24,11:56:00,2022-01-24,23:26:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C286,13:31:08.2885,,+30:30:32.9608,2022-01-25,01:30:00,2022-01-25,04:48:00,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
imaging_end,13:31:08.2885,,+30:30:32.9608,2022-01-25,04:50:00,2022-01-25,04:51:00,10,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template


