source,ra,ha,dec,date1,time1,date2,time2,int,type,weight,beam,switch_type,freqmode,centfreq,template
SPARCS_1530+29,15:30:00,,+29:00:00,2022-02-21,22:58:24,2022-02-22,10:28:24,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8855,,+16:38:22.0546,2022-02-22,15:28:24,2022-02-22,18:46:24,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1137+5324,11:37:34,,+53:24:05,2022-02-22,19:05:06,2022-02-23,06:35:06,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S0003+4114,00:03:24,,+41:14:27,2022-02-23,07:29:06,2022-02-23,18:59:06,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.138,,+49:51:07.2322,2022-02-23,19:05:54,2022-02-23,22:23:54,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
M2214+3130,22:14:46,,+31:30:45,2022-02-24,05:35:54,2022-02-24,17:05:54,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8855,,+16:38:22.0546,2022-02-24,17:14:04,2022-02-24,20:32:04,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
imaging_end,05:21:09.8855,,+16:38:22.0546,2022-02-24,20:34:04,2022-02-24,20:35:04,10,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
