source,ra,ha,dec,date1,time1,date2,time2,int,type,weight,beam,switch_type,freqmode,centfreq,template
imaging_start,05:21:09.8859,,+16:38:22.0518,2022-01-04,18:37:00,2022-01-04,18:38:00,10,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8859,,+16:38:22.0518,2022-01-04,18:40:58,2022-01-04,21:58:58,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
M1248+3356,12:48:39,,+33:56:40,2022-01-04,23:28:58,2022-01-05,10:58:58,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
