source,ra,ha,dec,date1,time1,date2,time2,int,type,weight,beam,switch_type,freqmode,centfreq,template
S1407+5815,14:07:34,,+58:15:56,2022-02-24,21:26:00,2022-02-25,08:56:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1225+4340,12:25:13,,+43:40:23,2022-02-25,19:40:00,2022-02-26,07:10:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.138,,+49:51:07.2322,2022-02-26,13:52:00,2022-02-26,17:10:00,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1225+4114,12:25:13,,+41:14:27,2022-02-26,19:36:00,2022-02-27,07:06:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C138,05:21:09.8855,,+16:38:22.0546,2022-02-27,15:08:00,2022-02-27,18:26:00,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1239+4114,12:39:46,,+41:14:27,2022-02-27,19:46:00,2022-02-28,07:16:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
3C147,05:42:36.138,,+49:51:07.2322,2022-02-28,13:44:00,2022-02-28,17:02:00,10,S*,compound,0,system,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
S1240+4340,12:40:23,,+43:40:23,2022-02-28,19:44:00,2022-03-01,07:14:00,30,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template
imaging_end,12:40:23,,+43:40:23,2022-03-01,07:16:00,2022-03-01,07:17:00,10,T,compound,0,-,300,1370,/opt/apertif/share/parsets/parset_start_observation_atdb_SubbandPhaseCorrection.template

